"Instant bank payment","Virement immédiat"
"Enabled","Activer"
"Bank Type","Catégorie de banques"
"Show Logo","Afficher le logo"
"Show logo at checkout","Afficher le logo Fintecture au paiement."
"Environment","Environnement"
"App ID","App ID"
"App Secret","App Secret"
"Private Key","Clé privée"
"Test App ID","App ID de test"
"Test App Secret","App Secret de test"
"Test Private Key","Clé privée de test"
"Yes","Oui"
"No","Non"
"All","Toutes"
"Retail","Particulier"
"Corporate","Entreprise"
"Test","Test"
"Production","Production"
"Test connection", "Tester connexion"
"Delete File","Supprimer le fichier"
"Your payment is being validated by your bank.","Votre paiement est en cours de validation par votre banque."
"Cannot add the item to shopping cart.","Impossible d'ajouter l'article au panier."
